And we're going to tell you some stories from the sea here in video.	Wir werden Ihnen einige Geschichten über das Meer in Videoform erzählen .
They took up the challenge, and Korea was able to double the proportion of students achieving excellence in one decade in the field of reading.	Man nahm die Herausforderung an und heute erzielen zweimal so viele Schüler Bestergebnisse beim Lesen – innerhalb eines Jahrzehnts .
Well, if you only focus on your brightest students, you know what happens is disparities grow, and you can see this bubble moving slightly to the other direction, but still, an impressive improvement.	Wenn man sich nur auf die schlausten Schüler konzentriert , teilt sich der Graben weiter . Der Kreis bewegt sich ganz leicht in die andere Richtung , aber die Verbesserung ist dennoch enorm .
A major overhaul of Poland's education helped to dramatically reduce between variability among schools, turn around many of the lowest-performing schools, and raise performance by over half a school year.	Eine grundlegende Überholung des Schulsystems hat in Polen zu einer Anpassung der Qualitäten zwischen den Schulen geführt , viele der am schlechtesten abgeschnittenen Schulen verbessert und und die Leistungen pro Schuljahr um über 50 % angehoben .
And you can see other countries as well.	Auch andere Länder haben dies geschafft .
Portugal was able to consolidate its fragmented school system, raise quality and improve equity, and so did Hungary.	In Portugal wurde das fragmentierte Schulsystem vereinheitlicht und die Qualität und Gleichheit verbessert . Genau wie in Ungarn .
So what you can actually see, there's been a lot of change.	Sie sehen also , dass viel passiert ist .
And even those people who complain and say that the relative standing of countries on something like PISA is just an artifact of culture, of economic factors, of social issues, of homogeneity of societies, and so on, these people must now concede that education improvement is possible.	Auch die Kritiker , die behaupten , die relative Länderposition in einer Studie wie PISA sei nur ein Produkt der Kultur , wirtschaftlicher Faktoren , sozialer Probleme , der gesellschaftlichen Homogenität usw . müssen zugeben , dass Verbesserungen im Bildungsbereich möglich sind .
You know, Poland hasn't changed its culture.	Polen hat bekanntlich nicht seine Kultur geändert .
And all that raises, of course, the question: What can we learn from those countries in the green quadrant who have achieved high levels of equity, high levels of performance, and raised outcomes?	Daraus ergibt sich nun die Frage: Was können wir von den Ländern im grünen Quadranten mit einer hohen Gleichheitsrate , sehr guten Ergebnissen und verbesserter Leistung lernen ?
And, of course, the question is, can what works in one context provide a model elsewhere?	Und natürlich: Kann ein Erfolgsrezept auf alle angewandt werden ?
Of course, you can't copy and paste education systems wholesale, but these comparisons have identified a range of factors that high-performing systems share.	Natürlich kann man nicht einfach das ganze Bildungssystem kopieren , aber über diese Vergleiche wurden Faktoren identifziert , die allen guten Systemen zugrunde liegen .
Everybody agrees that education is important.	Wir allen stimmen zu , dass Bildung wichtig ist .
Everybody says that.	Jeder sagt das .
But the test of truth is, how do you weigh that priority against other priorities?	Aber die Feuertaufe ist: Wie wichtig ist Bildung im Vergleich zu anderen Prioritäten ?
How do countries pay their teachers relative to other highly skilled workers?	Wie sollen Länder ihre Lehrer im Vergleich zu anderen hochqualifizierten Arbeitern bezahlen ?
Would you want your child to become a teacher rather than a lawyer?	Würden Sie wollen , dass Ihr Kind lieber Lehrer oder Anwalt wird ?
How do the media talk about schools and teachers?	Wie werden Schulen und Lehrer in den Medien dargestellt ?
Those are the critical questions, and what we have learned from PISA is that, in high-performing education systems, the leaders have convinced their citizens to make choices that value education, their future, more than consumption today.	Dies sind die entscheidenden Fragen . Und von PISA haben wir gelernt , dass in guten Bildungssystemen die Bürger überzeugt wurden , Entscheidungen für ihre Bildung und Zukunft zu treffen und nicht kurzfristig zu denken .
Those things really exist.	Ja , diese Länder existieren .
But placing a high value on education is just part of the picture.	Der Bildung hohen Wert beizumessen , ist nur ein Teil der Geschichte .
The other part is the belief that all children are capable of success.	Der andere ist die Überzeugung , dass alle Kinder erfolgreich sein können .
You have some countries where students are segregated early in their ages.	In manchen Ländern werden Schüler schon früh getrennt .
You know, students are divided up, reflecting the belief that only some children can achieve world-class standards.	Dies spiegelt die Überzeugung wider , dass nur manche Kinder eine weltklasse Leistung erbringen können .
But usually that is linked to very strong social disparities.	Dies geht jedoch in der Regel mit starken sozialen Unterschieden einher .
If you go to Japan in Asia, or Finland in Europe, parents and teachers in those countries expect every student to succeed, and you can see that actually mirrored in student behavior.	In Ländern wie Japan oder Finnland erwarten alle Eltern und Lehrer , dass jeder Schüler erfolgreich ist , und dies spiegelt sich im Verhalten der Schüler wider .
When we asked students what counts for success in mathematics, students in North America would typically tell us, you know, it's all about talent.	Wenn wir Schüler in Nordamerika fragen , was für den Erfolg in Mathematik entscheidend ist , antworten sie in der Regel , dass alles von der Begabung abhängt .
If I'm not born as a genius in math, I'd better study something else.	Wenn ich nicht als Mathegenie geboren wurde , lerne ich besser was anderes .
Nine out of 10 Japanese students say that it depends on my own investment, on my own effort, and that tells you a lot about the system that is around them.	9 von 10 japanischen Schülern antworten , dass es von ihrem Aufwand und ihren Bemühungen abhängt . Das spricht Bände über das jeweilige System .
In the past, different students were taught in similar ways.	In der Vergangenheit wurden unterschiedliche Schüler gleich unterrichtet .
High performers on PISA embrace diversity with differentiated pedagogical practices.	Länder mit guten PISA-Ergebnissen nehmen die Unterschiede über differenzierte pädagogische Vorangehensweisen an .
They realize that ordinary students have extraordinary talents, and they personalize learning opportunities.	Sie erkennen , dass gewöhnliche Schüler außergewöhnliche Begabungen haben , und gestalten Lernmöglichkeiten individuell .
High-performing systems also share clear and ambitious standards across the entire spectrum.	Gute Bildungssysteme teilen die gleichen klaren und ehrgeizigen Standards im gesamten Spektrum .
Every student knows what matters.	Jeder Schüler weiß , worauf es ankommt .
Every student knows what's required to be successful.	Jeder Schüler weiß , was für den Erfolg nötig ist .
And nowhere does the quality of an education system exceed the quality of its teachers.	Und die Qualität des Schulsystems ist nirgendwo besser als die Qualität der Lehrer .
High-performing systems are very careful in how they recruit and select their teachers and how they train them.	Gute Schulsysteme wählen ihre Lehrer sehr sorgsam aus und bilden sie gezielt weiter .
They watch how they improve the performances of teachers in difficulties who are struggling, and how they structure teacher pay.	Die Leistungen von Lehrern , die vielleicht Probleme haben , werden gezielt verbessert . Das Gehalt eines jeden Lehrers ist strukturiert .
They provide an environment also in which teachers work together to frame good practice.	Ein Umfeld wird geschaffen für die Zusammenarbeit unter Lehrern , um gute Methoden zu fördern .
And they provide intelligent pathways for teachers to grow in their careers.	Und es gibt individuelle Karrieremöglichkeiten für Lehrer .
In bureaucratic school systems, teachers are often left alone in classrooms with a lot of prescription on what they should be teaching.	In bürokratischen Schulsystemen werden die Lehrer in den Klassen alleine gelassen und haben sich an viele Unterrichtsvorgaben zu halten .
High-performing systems are very clear what good performance is.	In den guten Systemen herrscht eine klare Vorstellung von guter Leistung .
They set very ambitious standards, but then they enable their teachers to figure out, what do I need to teach to my students today?	Das Niveau ist sehr hoch , aber die Lehrer können selbst herausfinden , was sie ihren Schülern jeweils beibringen müssen .
The past was about delivered wisdom in education.	In der Vergangenheit ging es um die Weitergabe von Wissen .
Now the challenge is to enable user-generated wisdom.	Jetzt sollen die Schüler aus eigenem Antrieb Wissen erlangen .
High performers have moved on from professional or from administrative forms of accountability and control -- to professional forms of work organization.	In guten Schulsystemem kommt es nicht mehr auf professionelle oder administrative Verantwortung und Kontrolle an , professionelle Art der Arbeitsorganisation .
